RO_PHYSICAL_FINGERPRINT_V2
SUMMARY	ro_luts=128	ro_nets=128	endpoint_cells=136
CELL	u_puf/lfsr_inst/clk_BUFG_inst_i_2	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X113Y32	SLICEL.A6LUT	I0:A2,I1:A6,I2:A1,I3:A3,I4:A5,I5:A4
CELL	u_puf/lfsr_inst/clk_BUFG_inst_i_3	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X113Y28	SLICEL.A6LUT	I0:A4,I1:A6,I2:A3,I3:A5,I4:A1,I5:A2
CELL	u_puf/lfsr_inst/clk_BUFG_inst_i_4	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X111Y33	SLICEL.B6LUT	I0:B6,I1:B2,I2:B3,I3:B5,I4:B1,I5:B4
CELL	u_puf/lfsr_inst/clk_BUFG_inst_i_5	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X111Y29	SLICEL.A6LUT	I0:A5,I1:A2,I2:A4,I3:A3,I4:A1,I5:A6
CELL	u_puf/lfsr_inst/n_0_45840_BUFG_inst_i_2	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X111Y25	SLICEL.A6LUT	I0:A6,I1:A2,I2:A3,I3:A4,I4:A1,I5:A5
CELL	u_puf/lfsr_inst/n_0_45840_BUFG_inst_i_3	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X113Y24	SLICEL.A6LUT	I0:A6,I1:A3,I2:A5,I3:A2,I4:A4,I5:A1
CELL	u_puf/lfsr_inst/n_0_45840_BUFG_inst_i_4	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X112Y26	SLICEM.A6LUT	I0:A6,I1:A3,I2:A4,I3:A2,I4:A5,I5:A1
CELL	u_puf/lfsr_inst/n_0_45840_BUFG_inst_i_5	LUT6	64'hAFA0CFCFAFA0C0C0	SLICE_X109Y27	SLICEL.B6LUT	I0:B6,I1:B1,I2:B3,I3:B4,I4:B2,I5:B5
CELL	u_puf/ring0[0].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X110Y27	SLICEL.A6LUT	I0:A6,I1:A5,I2:A4,I3:A3,I4:A2,I5:A1
CELL	u_puf/ring0[0].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X110Y28	SLICEL.A6LUT	I0:A6,I1:A5,I2:A4,I3:A3,I4:A2,I5:A1
CELL	u_puf/ring0[0].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X111Y28	SLICEL.A6LUT	I0:A6,I1:A5,I2:A4,I3:A3,I4:A2,I5:A1
CELL	u_puf/ring0[0].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X110Y27	SLICEL.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[1].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X113Y29	SLICEL.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[1].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X111Y29	SLICEL.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[1].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X111Y29	SLICEL.C6LUT	I0:C6,I1:C5,I2:C4,I3:C3,I4:C2,I5:C1
CELL	u_puf/ring0[1].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X113Y29	SLICEL.C6LUT	I0:C6,I1:C5,I2:C4,I3:C3,I4:C2,I5:C1
CELL	u_puf/ring0[2].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X112Y32	SLICEM.C6LUT	I0:C6,I1:C5,I2:C4,I3:C3,I4:C2,I5:C1
CELL	u_puf/ring0[2].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X112Y32	SLICEM.D6LUT	I0:D6,I1:D5,I2:D4,I3:D3,I4:D2,I5:D1
CELL	u_puf/ring0[2].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X113Y32	SLICEL.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[2].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X113Y32	SLICEL.C6LUT	I0:C6,I1:C5,I2:C4,I3:C3,I4:C2,I5:C1
CELL	u_puf/ring0[3].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X112Y29	SLICEM.A6LUT	I0:A6,I1:A5,I2:A4,I3:A3,I4:A2,I5:A1
CELL	u_puf/ring0[3].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X112Y29	SLICEM.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[3].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X112Y29	SLICEM.C6LUT	I0:C6,I1:C5,I2:C4,I3:C3,I4:C2,I5:C1
CELL	u_puf/ring0[3].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X112Y29	SLICEM.D6LUT	I0:D6,I1:D5,I2:D4,I3:D3,I4:D2,I5:D1
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X110Y35	SLICEL.A6LUT	I0:A6,I1:A5,I2:A4,I3:A3,I4:A2,I5:A1
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X110Y34	SLICEL.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X110Y34	SLICEL.C6LUT	I0:C6,I1:C5,I2:C4,I3:C3,I4:C2,I5:C1
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X110Y35	SLICEL.B6LUT	I0:B6,I1:B5,I2:B4,I3:B3,I4:B2,I5:B1
CELL	u_puf/ring0[5].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X110Y29	SLICEL.A6LUT	I0:A6,I1:A5,I2:A4,I3:A3,I4:A2,I5:A1
